"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 22 11:56:27 BDT 2023","Sun Oct 22 11:56:51 BDT 2023","24442","Practice.project.runner","Test_Run2","","","","test_login",""
"broken","Sun Oct 22 11:56:07 BDT 2023","Sun Oct 22 11:56:21 BDT 2023","14578","Practice.project.runner","Test_Run1","","","","test_registration",""
"passed","Sun Oct 22 11:57:07 BDT 2023","Sun Oct 22 11:57:21 BDT 2023","14374","Practice.project.runner","Test_Run2","","","","test_login_from_json",""
"broken","Sun Oct 22 11:56:56 BDT 2023","Sun Oct 22 11:57:01 BDT 2023","5023","Practice.project.runner","Test_Run2","","","","test_loginWithInvalidPassword",""
